Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent summary,Status Category,Status Category Changed
Trang khôi phục phiên bản file.,SCRUM-37,10090,Story,TEST,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,Vũ Văn Tiến,712020:a98748af-662f-4973-84e8-fb0645bf01f6,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:05,11/25/24 9:08,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cn:,,,,,,,,,,,,,,10024,Viết báo cáo US,In Progress,11/25/24 9:05
"Trang quản lý file (xem, chỉnh sửa, xóa).",SCRUM-36,10089,Story,TEST,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,nguyentrungdubn,712020:af3d382d-3539-477a-bfea-12d9f79d3acf,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:04,11/25/24 9:08,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000cf:,,,,,,,,,,,,,,10024,Viết báo cáo US,In Progress,11/25/24 9:04
Trang upload file và mã hóa.,SCRUM-35,10088,Story,TEST,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,Minh Hảo Phạm,712020:0b12bcd6-eb33-4879-a150-73b63828c470,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:04,11/25/24 9:08,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000c7:,,,,,,,,,,,,,,10026,Xây dựng Web App,In Progress,11/25/24 9:04
"Trang đăng nhập, đăng ký.",SCRUM-34,10087,Story,TEST,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:04,11/25/24 9:08,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bz:,,,,,,,,,,,,,,10024,Viết báo cáo US,In Progress,11/25/24 9:04
Định nghĩa công nghệ và công cụ sử dụng,SCRUM-33,10086,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,nguyentrungdubn,712020:af3d382d-3539-477a-bfea-12d9f79d3acf,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:04,11/25/24 9:08,11/25/24 9:04,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000br:,,,,,,,,,,,,,10000_*:*_1_*:*_1193596_*|*_10002_*:*_1_*:*_0,10024,Viết báo cáo US,Done,11/25/24 9:04
Sơ đồ cơ sở dữ liệu (ERD).,SCRUM-32,10085,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,Minh Hảo Phạm,712020:0b12bcd6-eb33-4879-a150-73b63828c470,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:04,11/25/24 9:08,11/25/24 9:04,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bj:,,,,,,,,,,,,,10000_*:*_1_*:*_1199989_*|*_10002_*:*_1_*:*_0,10024,Viết báo cáo US,Done,11/25/24 9:04
Sơ đồ luồng dữ liệu (Data Flow Diagram).,SCRUM-31,10084,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,nguyentrungdubn,712020:af3d382d-3539-477a-bfea-12d9f79d3acf,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:04,11/25/24 9:08,11/25/24 9:04,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000bb:,,,,,,,,,,,,,10000_*:*_1_*:*_1199448_*|*_10002_*:*_1_*:*_0,10024,Viết báo cáo US,Done,11/25/24 9:04
Sơ đồ kiến trúc tổng thể.,SCRUM-30,10083,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,Vũ Văn Tiến,712020:a98748af-662f-4973-84e8-fb0645bf01f6,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:04,11/25/24 9:08,11/25/24 9:04,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000b3:,,,,,,,,,,,,,10000_*:*_1_*:*_1199438_*|*_10002_*:*_1_*:*_0,10024,Viết báo cáo US,Done,11/25/24 9:04
"Xác định các module chính: Mã hóa file, Watermarking, Quản lý phiên bản",SCRUM-29,10082,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:04,11/25/24 9:08,11/25/24 9:04,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000av:,,,,,,,,,,,,,10000_*:*_1_*:*_1186701_*|*_10002_*:*_1_*:*_0,10024,Viết báo cáo US,Done,11/25/24 9:04
Xác định mô hình MVC cho ứng dụng Web.,SCRUM-28,10081,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:04,11/25/24 9:08,11/25/24 9:04,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000an:,,,,,,,,,,,,,10000_*:*_1_*:*_1188338_*|*_10002_*:*_1_*:*_0,10024,Viết báo cáo US,Done,11/25/24 9:04
Hiệu suất: Hỗ trợ 100 user truy cập đồng thời.,SCRUM-27,10080,Story,TEST,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,An Phạm,712020:fb63ea13-d27e-4a85-a801-36fb498bf344,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:03,11/25/24 9:08,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000af:,,,,,,,,,,,,,,10024,Viết báo cáo US,In Progress,11/25/24 9:03
"Bảo mật: AES256, HTTPS.",SCRUM-26,10079,Story,TEST,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,An Phạm,712020:fb63ea13-d27e-4a85-a801-36fb498bf344,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:03,11/25/24 9:08,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000a7:,,,,,,,,,,,,,,10024,Viết báo cáo US,In Progress,11/25/24 9:03
Khôi phục phiên bản trước của file.,SCRUM-25,10078,Story,In Progress,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,Vũ Văn Tiến,712020:a98748af-662f-4973-84e8-fb0645bf01f6,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:03,11/25/24 9:08,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009z:,,,,,,,,,,,,,,10024,Viết báo cáo US,In Progress,11/25/24 9:03
Xóa file khi không cần thiết.,SCRUM-24,10077,Story,In Progress,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,Vũ Văn Tiến,712020:a98748af-662f-4973-84e8-fb0645bf01f6,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:03,11/25/24 9:08,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009r:,,,,,,,,,,,,,,10024,Viết báo cáo US,In Progress,11/25/24 9:03
Kiểm soát phiên bản file.,SCRUM-23,10076,Story,TEST,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,Vũ Văn Tiến,712020:a98748af-662f-4973-84e8-fb0645bf01f6,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 8:59,11/25/24 9:08,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009j:,,,Lấy yêu cầu,,,,,,,,,,,10024,Viết báo cáo US,In Progress,11/25/24 8:59
"Chống in, ghi và chụp màn hình.",SCRUM-22,10075,Story,TEST,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 8:59,11/25/24 9:08,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0009b:,,,Lấy yêu cầu,,,,,,,,,,,10024,Viết báo cáo US,In Progress,11/25/24 8:59
Ẩn Watermarking.,SCRUM-21,10074,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,nguyentrungdubn,712020:af3d382d-3539-477a-bfea-12d9f79d3acf,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 8:59,11/25/24 9:08,11/25/24 8:59,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007i:,,,Lấy yêu cầu,,,,,,,,,,10000_*:*_1_*:*_1165006_*|*_10002_*:*_1_*:*_0,10024,Viết báo cáo US,Done,11/25/24 8:59
Mã hóa nội dung file.,SCRUM-20,10073,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,Minh Hảo Phạm,712020:0b12bcd6-eb33-4879-a150-73b63828c470,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 8:59,11/25/24 9:08,11/25/24 8:59,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007f:,,,Lấy yêu cầu,,,,,,,,,,10000_*:*_1_*:*_1159832_*|*_10002_*:*_1_*:*_0,10024,Viết báo cáo US,Done,11/25/24 8:59
Đặt mật khẩu cho file.,SCRUM-19,10072,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,An Phạm,712020:fb63ea13-d27e-4a85-a801-36fb498bf344,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 8:59,11/25/24 9:08,11/25/24 8:59,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007h:,,,Lấy yêu cầu,,,,,,,,,,10000_*:*_1_*:*_1176223_*|*_10002_*:*_1_*:*_0,10024,Viết báo cáo US,Done,11/25/24 8:59
"US3: Quản lý thông tin tài khoản Người dùng có thể cập nhật thông tin tài khoản (tên, mật khẩu).",SCRUM-18,10071,Story,In Progress,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,,Minh Hảo Phạm,712020:0b12bcd6-eb33-4879-a150-73b63828c470,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:03,11/25/24 9:08,,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0008f:,,,,,,,,,,,,,,,,In Progress,11/25/24 9:03
"US2: Sử dụng không cần đăng ký Người dùng vãng lai có thể tải lên, mã hóa và nhận liên kết tạm thời (hết hạn sau 24h).",SCRUM-17,10070,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,Minh Hảo Phạm,712020:0b12bcd6-eb33-4879-a150-73b63828c470,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:03,11/25/24 9:08,11/25/24 9:03,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i00087:,,,,,,,,,,,,,10000_*:*_1_*:*_1749585_*|*_10002_*:*_1_*:*_0,,,Done,11/25/24 9:03
"US1: Đăng ký tài khoản mới Người dùng mới có thể đăng ký tài khoản bằng email, số điện thoại, và mật khẩu. Xác thực qua mã SMS hoặc email.",SCRUM-16,10069,Story,Done,SCRUM,WebApp_File_MH,software,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,Medium,Done,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,11/25/24 9:03,11/25/24 9:08,11/25/24 9:03,,0,,,Khanhcmc,712020:82263fd5-ac1e-4a66-8339-fc852fbd1191,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0007z:,,,,,,,,,,,,,10000_*:*_1_*:*_1756310_*|*_10002_*:*_1_*:*_0,10025,Viết báo cáo SRS,Done,11/25/24 9:03
